"","OTU","assignmentQual","taxID","superkingdom","phylum","class","order","family","genus","species"
"1","ASV_1","High-MH","None","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Calanidae","Calanus",NA
"2","ASV_2","Low","324873","Eukaryota","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae","Oithona","Oithona similis"
"3","ASV_3","None","None",NA,NA,NA,NA,NA,NA,NA
"4","ASV_4","None","None",NA,NA,NA,NA,NA,NA,NA
"5","ASV_5","High-MH","None","Eukaryota","Ciliophora","Spirotrichea",NA,NA,NA,NA
"6","ASV_6","High","2547605","Eukaryota","Chordata","Appendicularia","Copelata","Fritillariidae","Fritillaria","Fritillaria borealis"
"7","ASV_7","High","181653","Eukaryota","Ciliophora","Spirotrichea","","Strombidiidae","Laboea","Laboea strobila"
"8","ASV_8","High","273904","Eukaryota","Ciliophora","Spirotrichea","","Strombidiidae","Strombidium","Strombidium biarmatum"
"9","ASV_9","High","5949","Eukaryota","Ciliophora","Spirotrichea","Sporadotrichida","Oxytrichidae","Stylonychia","Stylonychia lemnae"
"10","ASV_10","High-MH","None","Eukaryota","Ciliophora","Spirotrichea","Tintinnida","Xystonellidae","Parafavella",NA
"11","ASV_11","High-MH","None","Eukaryota","Ciliophora","Spirotrichea",NA,NA,NA,NA
"12","ASV_12","None","None",NA,NA,NA,NA,NA,NA,NA
"13","ASV_13","Low","168745","Eukaryota","Cnidaria","Hydrozoa","Siphonophorae","Hippopodiidae","Hippopodius","Hippopodius hippopus"
"14","ASV_14","Low","363325","Eukaryota","","Dinophyceae","Blastodiniales","","Blastodinium","Blastodinium contortum"
"15","ASV_15","High","324873","Eukaryota","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae","Oithona","Oithona similis"
"16","ASV_16","Low","1240643","Eukaryota","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae","Oithona","Oithona sp. 2012JH195"
"17","ASV_17","Low","1229648","Eukaryota","Ciliophora","Spirotrichea","Tintinnida","Codonellopsidae","Laackmanniella","Laackmanniella prolongata"
"18","ASV_18","High-MH","None","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Calanidae","Calanus",NA
"19","ASV_19","High-MH","None","Eukaryota","Ciliophora","Spirotrichea",NA,NA,NA,NA
"20","ASV_20","Low","324873","Eukaryota","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae","Oithona","Oithona similis"
"21","ASV_21","Low","324873","Eukaryota","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae","Oithona","Oithona similis"
"22","ASV_22","Low","1348343","Eukaryota","Ciliophora","Litostomatea","Cyclotrichida","Mesodiniidae","Askenasia","Askenasia sp. LWW2010032604"
"23","ASV_23","Low","57513","Eukaryota","Ciliophora","Spirotrichea","Urostylida","Urostylidae","Uroleptus","Uroleptus gallina"
"24","ASV_24","Low","363325","Eukaryota","","Dinophyceae","Blastodiniales","","Blastodinium","Blastodinium contortum"
"25","ASV_25","None","None",NA,NA,NA,NA,NA,NA,NA
"26","ASV_26","None","None",NA,NA,NA,NA,NA,NA,NA
"27","ASV_27","Low","1537145","Eukaryota","Ciliophora","Spirotrichea","","Cyrtostrombidiidae","Cyrtostrombidium","Cyrtostrombidium paralongisomum"
"28","ASV_28","High","1925337","Eukaryota","Ciliophora","Spirotrichea","Tintinnida","Ptychocylididae","Ptychocylis","Ptychocylis minor"
